year	region	nwl_A	nwl_W	nwl_E	nwl_N	nwl_H	fwl_A	fwl_W	fwl_E	fwl_N	fwl_H	cwl_A	cwl_W	cwl_E	cwl_N	cwl_H
1975	1	3.85607	0.45824	0.58348	4.11329	28.74126	2.30485	0.22965	0.21953	2.78304	11.12725	1.66996	0.16369	0.08228	1.78831	2.66156
1976	1	3.87224	0.46041	0.58575	4.12634	28.74193	2.27299	0.22633	0.21791	2.76	11.12745	1.65221	0.16228	0.08217	1.78002	2.66161
1977	1	3.89496	0.46336	0.58903	4.14515	28.74264	2.25686	0.22439	0.21711	2.74437	11.12762	1.63958	0.16096	0.08204	1.77318	2.66165
1978	1	3.92351	0.467	0.59325	4.16973	28.74341	2.25954	0.22422	0.21746	2.74067	11.12778	1.63508	0.16013	0.08194	1.7694	2.66169
1979	1	3.96423	0.47232	0.5993	4.20492	28.74425	2.30685	0.22785	0.22068	2.76886	11.12796	1.6501	0.16054	0.08196	1.77453	2.66173
1980	1	4.00591	0.47758	0.60596	4.24535	28.74518	2.35445	0.23248	0.22447	2.80507	11.1282	1.66746	0.1617	0.08207	1.78186	2.66178
1981	1	4.04247	0.48196	0.61213	4.28548	28.74619	2.38132	0.23561	0.22726	2.83272	11.12848	1.67739	0.16277	0.08218	1.7867	2.66183
1982	1	4.06995	0.48507	0.61706	4.32073	28.74727	2.37136	0.23551	0.22773	2.83668	11.12878	1.67164	0.16294	0.08218	1.78461	2.66188
1983	1	4.10198	0.48917	0.62256	4.35805	28.74842	2.36932	0.23523	0.22851	2.8426	11.12908	1.66757	0.16278	0.08218	1.78301	2.66193
1984	1	4.13955	0.49401	0.62888	4.3993	28.74965	2.38409	0.23633	0.23024	2.85817	11.12939	1.66978	0.16281	0.08222	1.7841	2.66198
1985	1	4.18184	0.49941	0.63597	4.44509	28.75097	2.41802	0.23922	0.23313	2.8872	11.12973	1.67994	0.16335	0.0823	1.78891	2.66203
1986	1	4.21884	0.50371	0.6422	4.48875	28.75237	2.42108	0.24023	0.23447	2.89963	11.13009	1.67687	0.16348	0.08233	1.78844	2.66208
1987	1	4.26015	0.50894	0.64907	4.53543	28.75386	2.44294	0.24202	0.23674	2.92244	11.13047	1.68119	0.16373	0.08239	1.79102	2.66213
1988	1	4.30546	0.51462	0.65652	4.58552	28.75545	2.47944	0.24529	0.23998	2.9562	11.13089	1.69207	0.16442	0.08251	1.79683	2.66219
1989	1	4.35095	0.52019	0.66403	4.63676	28.75714	2.51866	0.24909	0.24352	2.99426	11.13136	1.70547	0.16546	0.08269	1.80424	2.66225
1990	1	4.39415	0.52533	0.67114	4.68727	28.75892	2.54483	0.25199	0.24644	3.02635	11.13187	1.71368	0.16638	0.08288	1.80998	2.66232
1991	1	4.42292	0.52807	0.67572	4.72776	28.76078	2.52718	0.25131	0.24661	3.02943	11.13239	1.7028	0.16625	0.08295	1.80734	2.66239
